mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
4.7445582548777265,0.190426323255073,0.28501049677530926,0.02181527968123741,True,48,0.26576012779943686,4,0.12913303835521028,106,0.5163745947478937,0.5249242834762011,0.535441702265057,0.525580193496384,0.007797918984519689,8
6.1029345989227295,0.3846215075823934,0.3067595958709717,0.025685663014971074,False,38,0.2585645565477482,3,0.1823690530092121,103,0.5323304062579827,0.5197117715373625,0.5640203635053199,0.5386875137668884,0.018639070836204516,7
9.637400309244791,0.5789797070137885,0.604110320409139,0.0910576893546665,False,43,0.3089322015703758,1,0.20301206058023688,161,0.5249245285136842,0.50190120828265,0.532631834758925,0.5198191905184197,0.013054787319613244,9
4.572049458821614,0.5876242733957701,0.23337435722351074,0.0169832434823445,False,21,0.2656206814501304,1,0.1328788204159156,61,0.5639749168366704,0.5393849412298545,0.5863483414933022,0.5632360665199424,0.019179844732063512,6
13.272539854049683,0.32552621590358577,0.631574789683024,0.03762470903902229,False,63,0.2519734054175108,3,0.13175872604975353,173,0.5672649937645624,0.5736118531962011,0.5930134093041088,0.5779634187549575,0.01095284796475038,5
20.15946873029073,0.3037385258582413,0.6961763699849447,0.035959475368223914,False,47,0.3463638217222405,3,0.10075792685919015,178,0.6568449203299964,0.6276823926201329,0.6235406962347707,0.6360226697283,0.01482032393543891,2
4.174338261286418,0.1093263156864897,0.22037323315938315,0.011272946141823878,False,63,0.2955238657130612,4,0.102885815756348,54,0.6355202762744319,0.5939779815863725,0.6077904804522073,0.6124295794376705,0.017273901152414606,3
2.7363107204437256,0.11709634937994098,0.17390664418538412,0.02698869462508654,True,40,0.2895533918806038,2,0.19882822191341334,63,0.43269449288145434,0.467974710997771,0.4612787919094935,0.45398266526290626,0.01529920576622633,10
9.588656822840372,0.20336070070205653,0.5071411927541097,0.019904947762736516,False,69,0.28359876180715704,2,0.02943675068727039,87,0.737220285810526,0.6386811508120052,0.6580951488834825,0.6779988618353379,0.04261931192559363,1
11.865269184112549,0.8905940712336458,0.5925339063008627,0.043638941617245706,False,66,0.3122606444302888,4,0.10854020511214277,178,0.5980548631437322,0.5767071404133052,0.6068291662772323,0.5938637232780899,0.012649330695516544,4
