mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
4.475391705830892,0.16903209945762637,0.26030604044596356,0.024701822083164498,True,48,0.26576012779943686,4,0.12913303835521028,106,0.521550216187141,0.5043673518181414,0.5284081110076843,0.5181085596709889,0.010111817353432783,9
7.057812134424846,1.6816156334921886,0.3433393637339274,0.12334335751221001,False,38,0.2585645565477482,3,0.1823690530092121,103,0.5138695980152977,0.5230999210581895,0.5409229664542197,0.525964161842569,0.011228656566309593,7
8.254221757253012,0.6709787636253668,0.40942660967508954,0.020939694736667316,False,43,0.3089322015703758,1,0.20301206058023688,161,0.5279537464502597,0.5149950045497099,0.5252846771221225,0.5227444760406974,0.0055869916807897695,8
4.358782052993774,0.4825733939219877,0.24744351704915366,0.10568290055124265,False,21,0.2656206814501304,1,0.1328788204159156,61,0.5677892856516241,0.5465534578633213,0.5971238485311708,0.5704888640153721,0.020733337013631656,6
10.35357173283895,0.2714351011899126,0.5141809781392416,0.037940639202340184,False,63,0.2519734054175108,3,0.13175872604975353,173,0.5567511025040175,0.5730522267399059,0.5977069903628817,0.5758367732022683,0.01683570534761871,5
20.028658866882324,4.1877593966206526,0.5924015045166016,0.02968564310232843,False,47,0.3463638217222405,3,0.10075792685919015,178,0.6516246008467517,0.6249352657639913,0.6168856187927906,0.6311484951345112,0.014847050951718233,2
3.7913777828216553,0.22226181113797577,0.17015560468037924,0.008119708200973786,False,63,0.2955238657130612,4,0.102885815756348,54,0.614805881746587,0.5948423739224649,0.5912338276583934,0.600294027775815,0.010366639789463854,3
2.0853161811828613,0.09198855673057563,0.1335116227467855,0.015156397783884617,True,40,0.2895533918806038,2,0.19882822191341334,63,0.42339042983959396,0.46129274221125993,0.4643058308873479,0.44966300097940054,0.01861819310181384,10
8.208848396937052,0.046322998794097014,0.4817948341369629,0.023387015425637047,False,69,0.28359876180715704,2,0.02943675068727039,87,0.7197337087426777,0.6412689104814981,0.644301030171476,0.6684345497985507,0.03629509809634261,1
10.576611042022705,0.33126354799742264,0.5165042082468668,0.03506328500110328,False,66,0.3122606444302888,4,0.10854020511214277,178,0.5995844559328687,0.5795651277085602,0.6156403880808736,0.5982633239074341,0.014757261378815603,4
