mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
4.956483681996663,0.25787440160223446,0.3062273661295573,0.038209273109475514,True,48,0.26576012779943686,4,0.12913303835521028,106,0.503456230587376,0.5153015339718146,0.5231451876065443,0.5139676507219116,0.008093132501034142,9
5.88657530148824,0.21469566961621855,0.2685385545094808,0.013036085853015154,False,38,0.2585645565477482,3,0.1823690530092121,103,0.5322253784536523,0.5401464680171973,0.5650097567460397,0.5457938677389631,0.013967192696163424,7
8.852718035380045,0.542773408084533,0.42751256624857586,0.03402758113973892,False,43,0.3089322015703758,1,0.20301206058023688,161,0.5201399683507466,0.510308790898893,0.5277680350536705,0.5194055981011033,0.00714659715583596,8
3.9932554562886557,0.060544299057592975,0.19664239883422852,0.016359518725740617,False,21,0.2656206814501304,1,0.1328788204159156,61,0.5655168370293073,0.573474569909401,0.5857836792499838,0.5749250287295641,0.008337229615453391,5
11.603582302729288,0.6788319641131703,0.5212249755859375,0.03201404152050958,False,63,0.2519734054175108,3,0.13175872604975353,173,0.5723219759575124,0.5584707772692326,0.5901584448690758,0.5736503993652736,0.012970494748781534,6
17.915895462036133,0.5554499763782595,0.6755064328511556,0.013526555025219598,False,47,0.3463638217222405,3,0.10075792685919015,178,0.653566018320146,0.6249979630672026,0.6376408869691348,0.6387349561188278,0.011688489657551723,2
3.9632259209950766,0.13012537351403627,0.19492626190185547,0.015703229110145545,False,63,0.2955238657130612,4,0.102885815756348,54,0.6054778894209778,0.579843614606484,0.6021283904612669,0.5958166314962429,0.011377103827151198,3
2.422950267791748,0.10403052596623484,0.14336625734965006,0.007762681913056847,True,40,0.2895533918806038,2,0.19882822191341334,63,0.4120708268894653,0.4300189422815882,0.4361449583617074,0.42607824251092036,0.010215602039612623,10
8.913565238316854,0.14206232747122838,0.5057293574015299,0.05000122175280015,False,69,0.28359876180715704,2,0.02943675068727039,87,0.7212687784000318,0.6492742305727901,0.6730625755304714,0.6812018615010977,0.029949843753582124,1
12.239357391993204,0.7164332394016363,0.5380274454752604,0.02671728309617137,False,66,0.3122606444302888,4,0.10854020511214277,178,0.6020062677259519,0.5685916421224906,0.6020555645114063,0.5908844914532829,0.015763437780875942,4
